entity,relation,value
黄精叶钩吻,治疗,跌打损伤
香港算盘子,治疗,咳嗽
香港算盘子,治疗,肝炎
香港算盘子,治疗,腹痛
香港算盘子,治疗,衄血
香港算盘子,治疗,跌打损伤
金黄侧金盏花,治疗,心悸
金黄侧金盏花,治疗,充血性心力衰弱
金鸡纳树,治疗,疟疾
金鸡纳树,治疗,疮疽
金鸡纳树,治疗,皮炎
金鸡纳树,治疗,皮癣
吴兴铁线莲,治疗,深部浓肿
吴兴铁线莲,治疗,风湿性关节炎
吴兴铁线莲,治疗,脑瘤
吴兴铁线莲,治疗,淋巴结核
金锦香,治疗,痈疮肿毒
马蹄金,治疗,黄疸型肝炎
马蹄金,治疗,胆囊炎
马蹄金,治疗,肾炎
马蹄金,治疗,泌尿系感染
马蹄金,治疗,扁桃腺炎
马蹄金,治疗,口腔炎
马蹄金,治疗,毒蛇咬伤
马蹄金,治疗,乳痈
马蹄金,治疗,痢疾
马蹄金,治疗,疟疾
马蹄金,治疗,肺出血
金毛铁线莲,治疗,肾炎
金毛铁线莲,治疗,尿结
金毛铁线莲,治疗,火眼
松潘乌头,治疗,跌打损伤
松潘乌头,治疗,风湿性关节痛
金钱豹,治疗,神经衰弱
金钱松,治疗,顽癣
金钱松,治疗,食积
水茄,治疗,疮毒
长萼鹿角藤,治疗,风湿性腰腿痛
长萼鹿角藤,治疗,肾亏腰痛
长萼鹿角藤,治疗,高血压
长萼鹿角藤,治疗,骨折
长萼鹿角藤,治疗,跌打损伤
多叶唐松草,治疗,肝炎
多叶唐松草,治疗,痢疾
多叶唐松草,治疗,小儿热症
多叶唐松草,治疗,痘疹难透
金粟兰,治疗,风湿疼痛
金粟兰,治疗,跌打损伤
金挖耳,治疗,感冒发热
金挖耳,治疗,咽喉肿痛
金挖耳,治疗,牙痛
金挖耳,治疗,蛔虫腹痛
金挖耳,治疗,急性肠炎
金挖耳,治疗,痢疾
金挖耳,治疗,尿道感染
金挖耳,治疗,淋巴结结核
金挖耳,治疗,疮疖肿毒
金挖耳,治疗,乳腺炎
金挖耳,治疗,带状疱疹
金挖耳,治疗,毒蛇咬伤
槐,治疗,疮毒
金樱子,治疗,疮疖
金樱子,治疗,烧烫伤
金盏银盘,治疗,上呼吸道感染
金盏银盘,治疗,咽喉肿痛
金盏银盘,治疗,急性阑尾炎
金盏银盘,治疗,急性黄疸型肝炎
金盏银盘,治疗,胃肠炎
金盏银盘,治疗,风湿关节疼痛
金盏银盘,治疗,疟疾
筋骨草,治疗,肺热咯血
筋骨草,治疗,跌打损伤
筋骨草,治疗,扁桃腺炎
筋骨草,治疗,咽喉炎
麻叶豆腐柴,治疗,脉管炎
麻叶豆腐柴,治疗,风湿性关节炎
麻叶豆腐柴,治疗,筋骨疼痛
麻叶豆腐柴,治疗,腰痛
麻叶豆腐柴,治疗,胃痛
麻叶豆腐柴,治疗,吐血
筋藤,治疗,风湿
堇菜,治疗,节疮
堇菜,治疗,肿毒
锦地罗,治疗,肠炎
锦地罗,治疗,菌痢
锦地罗,治疗,喉痛
锦地罗,治疗,咳嗽
锦地罗,治疗,小儿疳积
长冠鼠尾草紫参,治疗,感冒风寒
长冠鼠尾草紫参,治疗,腹痛
长冠鼠尾草紫参,治疗,妇科病
长冠鼠尾草紫参,治疗,伤风咳嗽
毛胶薯蓣,治疗,慢性肝炎
大戟,治疗,水肿
大戟,治疗,通经
麦瓶草,治疗,鼻衄
麦瓶草,治疗,吐血
麦瓶草,治疗,尿血
麦瓶草,治疗,肺脓疡
麦瓶草,治疗,月经不调
九管血,治疗,风湿筋骨痛
九管血,治疗,痨伤咳嗽
九管血,治疗,喉蛾
九管血,治疗,蛇咬伤
九管血,治疗,无名肿毒
鸭脚茶,治疗,感冒
鸭脚茶,治疗,头痛
鸭脚茶,治疗,疟疾
临时救,治疗,风寒头痛
临时救,治疗,咽喉肿痛
临时救,治疗,肾炎水肿
临时救,治疗,肾结石
临时救,治疗,小儿疳积
临时救,治疗,疔疮
