黄精叶钩吻,治跌打损伤   Disease:跌打损伤 
香港算盘子,治咳嗽   Disease:咳嗽 
香港算盘子,肝炎   Disease:肝炎 
香港算盘子,治腹痛   Disease:腹痛 
香港算盘子,衄血   Disease:衄血 
香港算盘子,跌打损伤   Disease:跌打损伤 
金黄侧金盏花,治心悸   Disease:心悸 
金黄侧金盏花,充血性心力衰弱等症   Disease:充血性心力衰弱 
金黄侧金盏花,新疆中草药手册   Disease:疆中 Disease:手册 
金鸡纳树,治疗疟疾   Disease:疗疟疾 
金鸡纳树,并有镇痛解热及局部麻醉的功用   Disease:镇痛解热 Disease:局部麻醉 
金鸡纳树,治疗疮疽   Disease:疗疮疽 
金鸡纳树,皮炎   Disease:皮炎 
金鸡纳树,皮癣都具有较好的疗效   Disease:皮癣 Disease:具有较 Disease:疗效 
吴兴铁线莲,治疗深部浓肿   Disease:疗深部浓肿 
吴兴铁线莲,风湿性关节炎   Disease:风湿性关节炎 
吴兴铁线莲,脑瘤   Disease:脑瘤 
吴兴铁线莲,江苏新医学院   Disease:江苏 Disease:医学 
吴兴铁线莲,中药大辞典   Disease:中药大辞典 
吴兴铁线莲,治颅内肿瘤   Disease:颅内肿瘤 
吴兴铁线莲,脑瘤   Disease:脑瘤 
吴兴铁线莲,治淋巴结核等症   Disease:淋巴结核 
吴兴铁线莲,杭州植物园   Disease:杭州植物园 
吴兴铁线莲,药用植物名录   Disease:植物名录 
金锦香,治痢疾止泻   Disease:痢疾止泻 
金锦香,又能   
金锦香,治痈疮肿毒以及外伤止血   Disease:痈疮肿毒 Disease:外伤止血 
金莲花,治慢性扁桃体炎   Disease:慢性扁桃体炎 
金莲花,与菊花和甘草合用   Disease:与菊 
金莲花,可   
马蹄金,治急慢性肝炎   Disease:急慢性肝炎 
马蹄金,黄疸型肝炎   Disease:黄疸型肝炎 
马蹄金,胆囊炎   Disease:胆囊炎 
马蹄金,肾炎   Disease:肾炎 
马蹄金,泌尿系感染   Disease:泌尿系感染 
马蹄金,扁桃腺炎   Disease:扁桃腺炎 
马蹄金,口腔炎及痈疔疗毒   Disease:口腔炎 Disease:痈疔疗毒 
马蹄金,毒蛇咬伤   Disease:毒蛇咬伤 
