iplantitem1,relation,iplantitem2
土圞儿,功用,块根含淀粉，味甜可食，可提制淀粉或作酿酒原料。
贺兰山南芥,功用,全草可解食物中毒和退烧。
落花生,功用,花生宜气候温暖，生长季节较长，雨量适中的沙质土地区。落花...
东北土当归,功用,本种嫩叶可食。
食用土当归,功用,本种嫩叶有香气，供食用，根供药用，作祛风活血药。
五加科,功用,本科植物在经济上有多方面的用途。有许多种类在医药上有重要...
红北极果,功用,果可食。
紫金牛属,功用,本属植物多供药用，对跌打、风湿、痨咳及各种炎症有良效；有...
小乔木紫金牛,功用,本种与酸苔菜 (A. solanacea. Roxb.) 极相似，但本种枝条较...
硃砂根,功用,33．硃砂根（广东）
百两金,功用,42. 百两金（本草纲目）
酸苔菜,功用,嫩叶、茎经烫软、漂洗处理后，可作蔬菜，是少数民族常食用的...
桄榔,功用,以上2种均有较高的经济价值，其花序的汁液可制糖、酿酒；树...
天南星,功用,块茎含淀粉28.05％，可制酒精、糊料，但有毒，不可食用。入...
杏属,功用,杏是我国原产，久经栽培，品种很多，具有重要的经济价值。树...
东川磨芋,功用,块茎供食用或入药，详见磨芋。
磨芋,功用,块茎入药能解毒消肿，灸后健胃，消饱胀。治流火、疔疮、无名...
疣柄磨芋,功用,全株作猪饲料，有催膘良效。块茎富含淀粉，工业上用作胶粘剂...
桃属,功用,桃是我国原产植物，已有三千多年的栽培历史，培育成为数众多...
扁桃,功用,果可食，但果肉较薄。树干笔直，树冠略成宝塔形，为良好的庭...
山桃,功用,本种抗旱耐寒，又耐盐碱土壤，在华北地区主要作桃、梅、李等...
白山桃,功用,本种抗旱耐寒，又耐盐碱土壤，在华北地区主要作桃、梅、李等...
红山桃,功用,山桃的主要观赏树种有：1．白山桃 f. alba（Carr.）Rehd. 花...
陕甘山桃,功用,本变种为西北地区核果类果树重要砧木，其他经济用途同于山桃...
光核桃,功用,本种核光滑，在桃属中较为独特，易与其他种区别。果实含糖量...
桃,功用,7. 桃（诗经）陶古日（蒙语）
漆树科,功用,本科以产漆著称[漆Toxicodendron vernicifluum (Stokes) F. ...
腰果,功用,假果可生食或制果汁、果酱、蜜饯、罐头和酿酒。种子炒食，味...
凤梨,功用,凤梨俗称菠萝，为著名热带水果之一，其可食部分主要由肉质增...
莳萝,功用,茎叶及果实有茴香味，尤以果实较浓。嫩茎叶供作蔬菜食用，果...
秋葵属,功用,本属植物的花大而美丽，可供园林观赏用；有些种类入药用或供...
咖啡黄葵,功用,种子含油达15-20％，油内含少量的棉酚，有小毒，但经高温处...
色木槭,功用,6. 色木槭（东北木本植物图志）水色树（中国树木分类学），...
酸竹,功用,竿可供造纸或篾用；笋可食用或加工成腌制品，味酸，故名酸竹...
毛花酸竹,功用,竹材供编织，篱笆等用；笋可食用，但略带苦味。
福建酸竹,功用,竿可用作农田和园艺瓜架等；笋可食，味甜。
猕猴桃属,功用,猕猴桃在我国有文字记载的历史已有二、三千年。但作为一种果...
软枣猕猴桃（原变种）,功用,原变种为本属本种中分布较广，天然产量较大，经济意义较大，...
猴面包树,功用,未成熟果皮可食。
沙蓬,功用,经济用途：种子含丰富淀粉，可食；植株可作牲畜饲料。
木通属,功用,本属大部分种类的根、藤和果实均作药用，有消炎解毒、利尿除...
木通,功用,茎、根和果实药用，利尿、通乳、消炎，治风湿关节炎和腰痛；...
三叶木通,功用,3．三叶木通 八月瓜藤（广东），三叶拿藤（浙江），活血藤、...
白木通,功用,果可食和药用；茎、根用途同三叶木通。
合欢,功用,13.合欢（神农本草经）绒花树（徐州），马缨花（辅通志）图...
