车前状垂头菊,产地,西藏、云南西北部、四川、青海、甘肃西部及西南部
车前状垂头菊,分布区域,喜马拉雅山（西部
紫苞鸢尾,产地,我国新疆
新疆落叶松,分布区域,新疆阿尔泰山及天山东部
新疆落叶松,分布区域,苏联、蒙古
峨边杜鹃,产地,四川西南部
峨边虾脊兰,产地,湖北西部（房县）和四川西南部（峨边）
峨参,分布区域,辽宁、河北、河南、山西、陕西、江苏、安徽、浙江、江西、湖北、四川、云南、内蒙古、甘肃、新疆
峨参,分布区域,欧洲及北美
峨参属,分布区域,欧、亚、非、美洲
峨眉蒿,产地,四川省中部
峨参叶紫堇,产地,四川西部（宝兴、天全、峨眉）和北部（汶川）
峨眉牛皮消,分布区域,陕西、甘肃、四川和河南
峨眉牛皮消,分布区域,山地林下
峨眉报春,分布区域,四川西南部(峨眉、峨边、马边、雷波、美姑、昭觉、布拖)和云南东北部(禄劝乌蒙山)
峨眉报春,分布区域,海拔2100至3500米的山坡草地
峨眉半蒴苣苔,产地,四川西部的峨眉和天全
峨眉贝母,产地,四川峨眉山（千佛顶）
峨眉翠雀花,产地,四川西部（美姑、雷波至峨眉、宝兴一带）
峨眉带唇兰,产地,四川（峨眉山）
峨眉当归,产地,四川（峨眉、天全、宝兴、马边、茂汶、冕宁、洪溪、雷波、越西等县）
峨眉当归,分布区域,海拔2100至3000米的高山的山坡、林下、阴湿草地、林缘、溪涧阔叶林下
峨眉点地梅,分布区域,四川峨眉山和灌县
峨眉吊石苣苔,产地,四川峨眉山
峨眉钓樟,产地,四川、贵州
峨眉冬青,分布区域,四川西部（峨眉、洪雅、屏山）
峨马杜鹃,产地,四川东南部和西南部、云南东北部
短果峨马杜鹃,产地,四川东南部
峨眉椴,分布区域,四川、贵州及湖南
峨眉椴,分布区域,1000至1800米的常绿林里
峨眉盾蕨,产地,四川(峨眉山、宝兴、雅安、城口)、江西(黄岗山)、湖北(宣恩)
峨眉耳蕨,产地,四川南部和东南部、贵州西部、云南东北部及东南部
峨眉鹅耳枥,分布区域,四川南部及峨眉山、贵州东北部
峨眉风轮菜,产地,四川
峨眉繁缕,产地,湖北（恩施）、四川（灌县至峨眉、攀枝花）、贵州（凯里、雪山）、云南（大关）
峨眉凤仙花,产地,四川（峨眉山、荥经、洪雅、峨边、天全）
峨眉附地菜,产地,四川（峨眉、洪雅、峨边）
峨眉勾儿茶,产地,四川（峨边、天全、峨眉山、奉节、城口、南川）、湖北西部（宣恩、建始）和贵州北部（桐梓）
峨眉复叶耳蕨,分布区域,四川中部（灌县青城山）和西南部（峨眉山、雅安）
峨眉钩毛蕨,产地,四川中部（峨眉山、灌县青城山）、云南中部（昆明
峨眉贯众,产地,湖北西部、湖南（怀化）、四川、贵州（清镇、梵净山）、西藏（察隅）
峨眉海桐,分布区域,四川、贵州及湖北西北部
峨眉过路黄,分布区域,四川西部和云南东北部
峨眉含笑,分布区域,四川中部、西部
峨眉红门兰,分布区域,四川峨眉山
峨眉红山茶,产地,四川
川黄檗,产地,湖北、湖南西北部、四川东部
秃叶黄檗,产地,陕西、甘肃二省南部
峨眉黄芩,产地,四川南部（峨眉、屏山）
峨眉黄肉楠,产地,四川、贵州（梵净山）
