HudongItem,relation,NewNode
似棘豆,instance of,生物分类单元
似棘豆,taxon rank,种
似棘豆,parent taxon,棘豆属
云南棘豆,instance of,生物分类单元
镰荚棘豆,instance of,生物分类单元
克氏棘豆,instance of,生物分类单元
宽苞棘豆,instance of,生物分类单元
匙苞姜,instance of,生物分类单元
蓝垂花棘豆,instance of,生物分类单元
似棘豆,basionym,Astragalus ambiguus
云南棘豆,taxon rank,种
镰荚棘豆,taxon rank,种
克氏棘豆,taxon rank,种
宽苞棘豆,taxon rank,种
匙苞姜,taxon rank,种
蓝垂花棘豆,taxon rank,种
长苞棘豆,instance of,生物分类单元
肾叶金腰,instance of,生物分类单元
黑毛多枝黄耆,instance of,生物分类单元
云南棘豆,parent taxon,棘豆属
镰荚棘豆,parent taxon,棘豆属
克氏棘豆,parent taxon,棘豆属
宽苞棘豆,parent taxon,棘豆属
匙苞姜,parent taxon,姜属
蓝垂花棘豆,parent taxon,棘豆属
长苞棘豆,taxon rank,种
肾叶金腰,taxon rank,种
马刺蓟,instance of,生物分类单元
镰荚棘豆,IUCN conservation status,无危物种
长苞棘豆,parent taxon,棘豆属
欧夏至草,instance of,生物分类单元
阿尔泰扭藿香,instance of,生物分类单元
西藏扭藿香,instance of,生物分类单元
小裂叶荆芥,instance of,生物分类单元
天山扭藿香,instance of,生物分类单元
多裂叶荆芥,instance of,生物分类单元
肾叶金腰,parent taxon,猫眼草属
马刺蓟,taxon rank,种
镰荚棘豆,subject has role,基名
长苞棘豆,subject has role,基名
欧夏至草,taxon rank,种
阿尔泰扭藿香,taxon rank,种
西藏扭藿香,taxon rank,种
小裂叶荆芥,taxon rank,种
天山扭藿香,taxon rank,种
多裂叶荆芥,taxon rank,种
两广黄芩,instance of,生物分类单元
马刺蓟,parent taxon,蓟属
矮生香科科,instance of,生物分类单元
峨眉香科科,instance of,生物分类单元
长毛香科科,instance of,生物分类单元
香科科,instance of,生物分类单元
穗花香科科,instance of,生物分类单元
秦岭香科科,instance of,生物分类单元
两广黄芩,taxon rank,种
马刺蓟,basionym,Cnicus monocephalus
矮生香科科,taxon rank,种
峨眉香科科,taxon rank,种
长毛香科科,taxon rank,种
香科科,taxon rank,种
穗花香科科,taxon rank,种
秦岭香科科,taxon rank,种
清镇唇柱苣苔,instance of,生物分类单元
欧夏至草,has fruit type,nucule
多裂叶荆芥,topic's main category,Category:Schizonepeta multifida
两广黄芩,parent taxon,黄芩属
清镇唇柱苣苔,taxon rank,种
欧夏至草,award received,Medicinal plant of the year
琴叶紫菀,instance of,生物分类单元
清镇唇柱苣苔,parent taxon,舌唇苣苔属
欧夏至草,topic's main category,Category:Marrubium vulgare
折梗点地梅,instance of,生物分类单元
四川点地梅,instance of,生物分类单元
岩居点地梅,instance of,生物分类单元
鲫鱼胆,instance of,生物分类单元
驱虫斑鸠菊,instance of,生物分类单元
糙叶斑鸠菊,instance of,生物分类单元
狭长斑鸠菊,instance of,生物分类单元
琴叶紫菀,taxon rank,种
欧夏至草,Status in the Red List of Threatened Species in the Czech Republic,critically endangered
折梗点地梅,taxon rank,种
