HudongItem1,relation,HudongItem2
欧夏至草,parent taxon,欧夏至草属
阿尔泰扭藿香,parent taxon,扭藿香属
西藏扭藿香,parent taxon,扭藿香属
小裂叶荆芥,parent taxon,裂叶荆芥属
天山扭藿香,parent taxon,扭藿香属
多裂叶荆芥,parent taxon,裂叶荆芥属
矮生香科科,parent taxon,香科科属
峨眉香科科,parent taxon,香科科属
长毛香科科,parent taxon,香科科属
香科科,parent taxon,香科科属
穗花香科科,parent taxon,香科科属
秦岭香科科,parent taxon,香科科属
折梗点地梅,parent taxon,点地梅属
四川点地梅,parent taxon,点地梅属
岩居点地梅,parent taxon,点地梅属
驱虫斑鸠菊,parent taxon,斑鸠菊属
糙叶斑鸠菊,parent taxon,斑鸠菊属
狭长斑鸠菊,parent taxon,斑鸠菊属
二叶獐牙菜,parent taxon,獐牙菜属
楔叶獐牙菜,parent taxon,獐牙菜属
高獐牙菜,parent taxon,獐牙菜属
直毛獐牙菜,parent taxon,獐牙菜属
细花獐牙菜,parent taxon,獐牙菜属
加查獐牙菜,parent taxon,獐牙菜属
黄花獐牙菜,parent taxon,獐牙菜属
石萝藦,parent taxon,石萝藦属
润肺草,parent taxon,润肺草属
丽江吊灯花,parent taxon,吊灯花属
金雀马尾参,parent taxon,吊灯花属
白马吊灯花,parent taxon,吊灯花属
白花附地菜,parent taxon,附地菜属
小花天芥菜,parent taxon,天芥菜属
腺毛长蒴苣苔,parent taxon,长蒴苣苔属
大齿长蒴苣苔,parent taxon,长蒴苣苔属
雷波长蒴苣苔,parent taxon,长蒴苣苔属
短茎长蒴苣苔,parent taxon,长蒴苣苔属
墨脱长蒴苣苔,parent taxon,长蒴苣苔属
蒙自长蒴苣苔,parent taxon,长蒴苣苔属
矮生长蒴苣苔,parent taxon,长蒴苣苔属
华南半蒴苣苔,parent taxon,半蒴苣苔属
西藏珊瑚苣苔,parent taxon,珊瑚苣苔属
盐生肉苁蓉,parent taxon,肉苁蓉属
匍匐鼠尾黄,parent taxon,孩儿草属
细叶天芥菜,parent taxon,天芥菜属
新疆天芥菜,parent taxon,天芥菜属
拟大尾摇,parent taxon,天芥菜属
砂引草,parent taxon,紫丹属
台湾明萼草,parent taxon,孩儿草属
黄猄草,parent taxon,马蓝属
大众耳草,parent taxon,耳草属
变黑蛇根草,parent taxon,蛇根草属
拟金草,parent taxon,耳草属
刺果猪殃殃,parent taxon,拉拉藤属
新耳草,parent taxon,新耳草属
卷毛新耳草,parent taxon,新耳草属
沼菊,parent taxon,沼菊属
鳢肠,parent taxon,鳢肠属
刺儿瓜,parent taxon,假贝母属
花花柴,parent taxon,花花柴属
戴星草,parent taxon,戴星草属
非洲戴星草,parent taxon,戴星草属
翼茎草,parent taxon,翼茎草属
绒毛戴星草,parent taxon,戴星草属
狭叶兔儿风,parent taxon,兔儿风属
狭翅兔儿风,parent taxon,兔儿风属
绢毛苣,parent taxon,绢毛苣属
多被银莲花,parent taxon,银莲花属
蜈蚣兰,parent taxon,隔距兰属
黄花鹤顶兰,parent taxon,鹤顶兰属
匍匐异药花,parent taxon,异药花属
匍茎卷瓣兰,parent taxon,石豆兰属
匍茎嵩草,parent taxon,嵩草属
普渡天胡荽,parent taxon,天胡荽属
普兰嵩草,parent taxon,嵩草属
膜叶马先蒿,parent taxon,马先蒿属
爬行马先蒿,parent taxon,马先蒿属
派氏马先蒿,parent taxon,马先蒿属
美花隔距兰,parent taxon,隔距兰属
球距无柱兰,parent taxon,无柱兰属
青海棱子芹,parent taxon,棱子芹属
青海固沙草,parent taxon,固沙草属
青海雪灵芝,parent taxon,无心菜属
青绿薹草,parent taxon,薹草属
莽山谷精草,parent taxon,谷精草属
荨麻叶母草,parent taxon,母草属
马山前胡,parent taxon,前胡属
柔毛淫羊藿,parent taxon,三枝九叶草
柔枝莠竹,parent taxon,莠竹属
瘤果变豆菜,parent taxon,变豆菜属
缩减无心菜,parent taxon,无心菜属
裂叶沙参,parent taxon,沙参属
林地早熟禾,parent taxon,早熟禾属
林地苋,parent taxon,林地苋属
裂瓣小芹,parent taxon,小芹属
镰叶嵩草,parent taxon,嵩草属
丝叶球柱草,parent taxon,球柱草属
树头花,parent taxon,水竹叶属
石异腺草,parent taxon,异腺草属
宽叶金锦香,parent taxon,金锦香
宽叶栓果芹,parent taxon,栓果芹属
深绿马先蒿,parent taxon,马先蒿属
深紫茴芹,parent taxon,茴芹属
少花淫羊藿,parent taxon,三枝九叶草
山蚂蚱草,parent taxon,蝇子草属
山类芦,parent taxon,类芦属
三角叶党参,parent taxon,党参属
三角叶马先蒿,parent taxon,马先蒿属
饭包草,parent taxon,鸭跖草属
芳香石豆兰,parent taxon,石豆兰属
凸额马先蒿,parent taxon,马先蒿属
条穗薹草,parent taxon,薹草属
条纹马先蒿,parent taxon,马先蒿属
大叶葱芥,parent taxon,葱芥属
大看麦娘,parent taxon,看麦娘属
大花南芥,parent taxon,南芥属
大花嵩草,parent taxon,嵩草属
武功山飘拂草,parent taxon,飘拂草属
戛氏马先蒿,parent taxon,马先蒿属
甲拉马先蒿,parent taxon,马先蒿属
网脉繁缕,parent taxon,繁缕属
杏叶茴芹,parent taxon,茴芹属
小花玄参,parent taxon,玄参属
无毛漆姑草,parent taxon,漆姑草属
无毛寒原荠,parent taxon,尖果寒原荠
乌拉草,parent taxon,薹草属
华飘拂草,parent taxon,飘拂草属
藓叶卷瓣兰,parent taxon,石豆兰属
藓状马先蒿,parent taxon,马先蒿属
狭叶沙参,parent taxon,沙参属
湖北落芒草,parent taxon,落芒草属
湖北沙参,parent taxon,沙参属
云南玄参,parent taxon,玄参属
城口茴芹,parent taxon,茴芹属
黑穗薹草,parent taxon,薹草属
云南前胡,parent taxon,前胡属
圆叶马先蒿,parent taxon,马先蒿属
褐毛狗尾草,parent taxon,狗尾草属
圆叶石豆兰,parent taxon,石豆兰属
印度谷精草,parent taxon,云南谷精草
异色藁本,parent taxon,藁本属
长花马先蒿,parent taxon,马先蒿属
长白柴胡,parent taxon,柴胡属
钻齿卷瓣兰,parent taxon,石豆兰属
总花蓝钟花,parent taxon,蓝钟花属
柄叶石豆兰,parent taxon,石豆兰属
紫茎小芹,parent taxon,小芹属
蔊菜叶马先蒿,parent taxon,马先蒿属
海南飘拂草,parent taxon,飘拂草属
海南山姜,parent taxon,山姜属
巴东羊角芹,parent taxon,羊角芹属
芷叶棱子芹,parent taxon,棱子芹属
直立卷瓣兰,parent taxon,石豆兰属
胀萼蓝钟花,parent taxon,蓝钟花属
沼沙参,parent taxon,沙参属
阿里山剪股颖,parent taxon,剪股颖属
阿尔泰柴胡,parent taxon,柴胡属
阿穆尔莎草,parent taxon,莎草属
埃氏马先蒿,parent taxon,马先蒿属
窄穗莎草,parent taxon,莎草属
窄叶薹草,parent taxon,薹草属
矮胡麻草,parent taxon,胡麻草属
掌叶鱼黄草,parent taxon,鱼黄草属
沼生马先蒿,parent taxon,马先蒿属
胀果芹,parent taxon,胀果芹属
沼生水莎草,parent taxon,水莎草属
针叶苋,parent taxon,白花苋属
矮飘拂草,parent taxon,飘拂草属
矮前胡,parent taxon,前胡属
矮小米草,parent taxon,小米草属
矮莎草,parent taxon,莎草属
矮生薹草,parent taxon,薹草属
矮水竹叶,parent taxon,水竹叶属
直刺变豆菜,parent taxon,变豆菜属
直距淫羊藿,parent taxon,三枝九叶草
直立百部,parent taxon,百部属
直立茴芹,parent taxon,茴芹属
镇康贝母兰,parent taxon,贝母兰属
镇坪淫羊藿,parent taxon,三枝九叶草
之形喙马先蒿,parent taxon,马先蒿属
矮小丝瓣芹,parent taxon,丝瓣芹属
矮眼子菜,parent taxon,眼子菜属
直唇卷瓣兰,parent taxon,石豆兰属
矮泽芹,parent taxon,矮泽芹属
安旱苋,parent taxon,安旱苋属
安宁薹草,parent taxon,薹草属
直盔马先蒿,parent taxon,马先蒿属
暗褐飘拂草,parent taxon,飘拂草属
暗褐薹草,parent taxon,薹草属
暗昧马先蒿,parent taxon,马先蒿属
暗紫贝母,parent taxon,贝母属
凹乳芹,parent taxon,凹乳芹属
暗红葛缕子,parent taxon,葛缕子属
直立腹水草,parent taxon,腹水草属
直立石龙尾,parent taxon,石龙尾属
奥氏马先蒿,parent taxon,马先蒿属
直蕊薹草,parent taxon,青绿薹草
圆叶节节菜,parent taxon,节节菜属
直穗薹草,parent taxon,薹草属
直葶石豆兰,parent taxon,石豆兰属
白苞芹,parent taxon,白苞芹属
巴塘马先蒿,parent taxon,马先蒿属
白苞裸蒴,parent taxon,裸蒴属
哈巴山马先蒿,parent taxon,马先蒿属
指叶山猪菜,parent taxon,鱼黄草属
海滨莎,parent taxon,海滨莎属
中甸独活,parent taxon,独活属
中甸茴芹,parent taxon,茴芹属
中甸丝瓣芹,parent taxon,丝瓣芹属
白顶早熟禾,parent taxon,早熟禾属
中甸蓝钟花,parent taxon,蓝钟花属
中俄谷精草,parent taxon,谷精草属
中国马先蒿,parent taxon,马先蒿属
海南白花苋,parent taxon,白花苋属
海南割鸡芒,parent taxon,割鸡芒属
中华薹草,parent taxon,薹草属
中华坛花兰,parent taxon,坛花兰属
海南山猪菜,parent taxon,鱼黄草属
中华石龙尾,parent taxon,石龙尾属
中华天胡荽,parent taxon,天胡荽属
香菇草,parent taxon,天胡荽属
钟萼草,parent taxon,钟萼草属
