HudongItem1,relation,HudongItem2
泽芹属,parent taxon,伞形科
泽兰羊耳菊,parent taxon,旋复花属
泽库棱子芹,parent taxon,棱子芹属
泽库虎耳草,parent taxon,虎耳草属
泽芹,parent taxon,泽芹属
泽山飞蓬,parent taxon,飞蓬属
泽地早熟禾,parent taxon,早熟禾属
西藏早熟禾,parent taxon,早熟禾属
西藏泡囊草,parent taxon,泡囊草属
西藏红景天,parent taxon,红景天属
西南叶下珠,parent taxon,叶下珠属
西藏核果茶,parent taxon,核果茶属
西藏旱蕨,parent taxon,禾秆旱蕨
西南野木瓜,parent taxon,野木瓜属
西南野古草,parent taxon,野古草属
西南沿阶草,parent taxon,沿阶草属
西南悬钩子,parent taxon,悬钩子属
蕈树,parent taxon,蕈树属
寻乌鳞毛蕨,parent taxon,鳞毛蕨属
蕈树属,taxonomic type,细青皮
血见愁,parent taxon,香科科属
血红小檗,parent taxon,小檗属
血满草,parent taxon,接骨木属
血水草属,parent taxon,罂粟科
血桐,parent taxon,血桐属
血色栒子,parent taxon,栒子属
雪毡雾水葛,parent taxon,雾水葛属
雪叶棘豆,parent taxon,棘豆属
雪香兰属,parent taxon,金粟兰科
雪下红,parent taxon,紫金牛属
血果蒲公英,parent taxon,蒲公英
雪香兰,parent taxon,雪香兰属
雪灵芝,parent taxon,无心菜属
雪里见,parent taxon,天南星属
雪柳,parent taxon,雪柳属
雪花香茶菜,parent taxon,香茶菜属
雪莲,parent taxon,风毛菊属
雪地早熟禾,parent taxon,早熟禾属
旋蒴苣苔,parent taxon,旋蒴苣苔属
旋喙马先蒿,parent taxon,马先蒿属
穴果木,parent taxon,穴果木属
旋麟莎草,parent taxon,莎草属
旋蒴苣苔属,parent taxon,苦苣苔科
旋叶香青,parent taxon,香青属
旋花羊角拗,parent taxon,羊角拗属
旋果蚊子草,parent taxon,蚊子草属
旋覆花,parent taxon,旋复花属
旋苞隐棒花,parent taxon,隐棒花属
叙永小檗,parent taxon,小檗属
絮菊,parent taxon,絮菊属
须药藤,parent taxon,须药藤属
序托冷水花,parent taxon,冷水花属
叙永梅花草,parent taxon,梅花草属
须蕊铁线莲,parent taxon,铁线莲属
须弥香青,parent taxon,香青属
须弥千里光,parent taxon,千里光属
须弥孩儿参,parent taxon,孩儿参属
须弥葛,parent taxon,葛属
须毛马先蒿,parent taxon,马先蒿属
须芒草,parent taxon,须芒草属
须花无心菜,parent taxon,无心菜属
锈毛忍冬,parent taxon,忍冬属
锈毛木莲,parent taxon,木莲属
锈毛莓,parent taxon,悬钩子属
锈毛络石,parent taxon,络石属
锈毛两型豆,parent taxon,两型豆属
锈毛鲫鱼藤,parent taxon,鲫鱼藤属
锈脉蚊子草,parent taxon,蚊子草属
锈毛闭花木,parent taxon,闭花木属
锈茎楼梯草,parent taxon,楼梯草属
锈荚藤,parent taxon,羊蹄甲属
锈点薹草,parent taxon,薹草属
锈茎螺序草,parent taxon,螺序草属
锈背野靛棵,parent taxon,野靛棵属
锈苞蒿,parent taxon,蒿属
绣线梅,parent taxon,绣线梅属
秀柱花,parent taxon,秀柱花属
秀英冬青,parent taxon,冬青
绣球防风,parent taxon,绣球防风属
秀丽野海棠,parent taxon,野海棠属
秀丽缬草,parent taxon,缬草属
秀丽兔儿风,parent taxon,兔儿风属
秀丽四照花,parent taxon,山茱萸属
秀丽水柏枝,parent taxon,水柏枝属
秀丽斑叶兰,parent taxon,斑叶兰属
秀瓣杜英,parent taxon,杜英属
秀苞败酱,parent taxon,败酱属
修枝荚蒾,parent taxon,荚蒾属
休氏马先蒿,parent taxon,马先蒿属
秀丽楤木,parent taxon,楤木属
杏籽栝楼,parent taxon,栝楼属
星叶丝瓣芹,parent taxon,丝瓣芹属
星状龙胆,parent taxon,龙胆属
星序楼梯草,parent taxon,楼梯草属
星毛紫金牛,parent taxon,紫金牛属
星毛羊奶子,parent taxon,胡颓子属
星毛鸭脚木,parent taxon,鹅掌柴属
星毛糖芥,parent taxon,糖芥属
星毛唐松草,parent taxon,唐松草属
星毛金锦香,parent taxon,金锦香属
星毛冠盖藤,parent taxon,冠盖藤属
星花灯心草,parent taxon,灯心草属
星花草属,parent taxon,桔梗科
星果草,parent taxon,星果草属
星花草,parent taxon,蓝花参属
星花粉条儿菜,parent taxon,粉条儿菜属
星萼龙胆,parent taxon,龙胆属
星萼金丝桃,parent taxon,金丝桃属
星刺卫矛,parent taxon,卫矛属
兴义香草,parent taxon,珍珠菜属
兴义秋海棠,parent taxon,秋海棠属
星萼獐牙菜,parent taxon,獐牙菜属
兴山五味子,parent taxon,五味子属
兴山小檗,parent taxon,小檗属
兴文小檗,parent taxon,小檗属
兴安悬钩子,parent taxon,悬钩子属
兴安薹草,parent taxon,薹草属
兴安杨,parent taxon,杨属
兴安益母草,parent taxon,益母草属
兴安梅花草,parent taxon,梅花草属
兴安藜芦,parent taxon,藜芦属
兴安蛇床,parent taxon,蛇床属
兴安天门冬,parent taxon,天门冬属
兴安堇菜,parent taxon,堇菜属
信宜石竹,parent taxon,簕竹属
兴安白头翁,parent taxon,白头翁属
