iplantitem1,relation,iplantitem2
秋葵属,经济用途,中国食用(淀粉)植物
咖啡黄葵,经济用途,中国食用(淀粉)植物
色木槭,经济用途,中国食用(淀粉)植物
酸竹,经济用途,中国食用(淀粉)植物
毛花酸竹,经济用途,中国食用(淀粉)植物
福建酸竹,经济用途,中国食用(淀粉)植物
猕猴桃属,经济用途,中国食用(淀粉)植物
软枣猕猴桃（原变种）,经济用途,中国食用(淀粉)植物
猴面包树,经济用途,中国食用(淀粉)植物
沙蓬,经济用途,中国食用(淀粉)植物
木通属,经济用途,中国食用(淀粉)植物
木通,经济用途,中国食用(淀粉)植物
三叶木通,经济用途,中国食用(淀粉)植物
白木通,经济用途,中国食用(淀粉)植物
合欢,经济用途,中国食用(淀粉)植物
海芋,经济用途,中国食用(淀粉)植物
海南藤春,经济用途,中国食用(淀粉)植物
石密,经济用途,中国食用(淀粉)植物
节鞭山姜,经济用途,中国食用(淀粉)植物
香姜,经济用途,中国食用(淀粉)植物
滑叶山姜,经济用途,中国食用(淀粉)植物
莲子草属,经济用途,中国食用(淀粉)植物
莲子草,经济用途,中国食用(淀粉)植物
苋属,经济用途,中国食用(淀粉)植物
繁穗苋,经济用途,中国食用(淀粉)植物
刺苋,经济用途,中国食用(淀粉)植物
苋,经济用途,中国食用(淀粉)植物
皱果苋,经济用途,中国食用(淀粉)植物
唐棣属,经济用途,中国食用(淀粉)植物
草果,经济用途,中国食用(淀粉)植物
矮合欢,经济用途,中国食用(淀粉)植物
深绿短肠蕨,经济用途,中国食用(淀粉)植物
葱属,经济用途,中国食用(淀粉)植物
阿尔泰葱,经济用途,中国食用(淀粉)植物
火葱,经济用途,中国食用(淀粉)植物
洋葱,经济用途,中国食用(淀粉)植物
红葱,经济用途,中国食用(淀粉)植物
葱,经济用途,中国食用(淀粉)植物
玉簪叶韭,经济用途,中国食用(淀粉)植物
薤白,经济用途,中国食用(淀粉)植物
卵叶韭,经济用途,中国食用(淀粉)植物
天蒜,经济用途,中国食用(淀粉)植物
韭葱,经济用途,中国食用(淀粉)植物
野韭,经济用途,中国食用(淀粉)植物
茖葱,经济用途,中国食用(淀粉)植物
土圞儿,经济用途,中国食用(淀粉)植物
贺兰山南芥,经济用途,中国食用(淀粉)植物
落花生,经济用途,中国食用(淀粉)植物
东北土当归,经济用途,中国食用(淀粉)植物
食用土当归,经济用途,中国食用(淀粉)植物
五加科,经济用途,中国食用(淀粉)植物
红北极果,经济用途,中国食用(淀粉)植物
紫金牛属,经济用途,中国食用(淀粉)植物
小乔木紫金牛,经济用途,中国食用(淀粉)植物
硃砂根,经济用途,中国食用(淀粉)植物
百两金,经济用途,中国食用(淀粉)植物
酸苔菜,经济用途,中国食用(淀粉)植物
桄榔,经济用途,中国食用(淀粉)植物
天南星,经济用途,中国食用(淀粉)植物
杏属,经济用途,中国食用(淀粉)植物
东川磨芋,经济用途,中国食用(淀粉)植物
磨芋,经济用途,中国食用(淀粉)植物
疣柄磨芋,经济用途,中国食用(淀粉)植物
桃属,经济用途,中国食用(淀粉)植物
扁桃,经济用途,中国食用(淀粉)植物
山桃,经济用途,中国食用(淀粉)植物
白山桃,经济用途,中国食用(淀粉)植物
红山桃,经济用途,中国食用(淀粉)植物
陕甘山桃,经济用途,中国食用(淀粉)植物
光核桃,经济用途,中国食用(淀粉)植物
桃,经济用途,中国食用(淀粉)植物
漆树科,经济用途,中国食用(淀粉)植物
腰果,经济用途,中国食用(淀粉)植物
凤梨,经济用途,中国食用(淀粉)植物
莳萝,经济用途,中国食用(淀粉)植物
当归属,经济用途,中国食用(淀粉)植物
白芷,经济用途,中国食用(淀粉)植物
拐芹,经济用途,中国食用(淀粉)植物
狭羽观音座莲,经济用途,中国食用(淀粉)植物
食用观音座莲,经济用途,中国食用(淀粉)植物
福建观音座莲,经济用途,中国食用(淀粉)植物
大顶观音座莲,经济用途,中国食用(淀粉)植物
强壮观音座莲,经济用途,中国食用(淀粉)植物
毛叶番荔枝,经济用途,中国食用(淀粉)植物
圆滑番荔枝,经济用途,中国食用(淀粉)植物
刺果番荔枝,经济用途,中国食用(淀粉)植物
牛心番荔枝,经济用途,中国食用(淀粉)植物
番荔枝,经济用途,中国食用(淀粉)植物
春黄菊族,经济用途,中国食用(淀粉)植物
五月茶,经济用途,中国食用(淀粉)植物
刀豆,经济用途,中国食用(淀粉)植物
蕉芋,经济用途,中国食用(淀粉)植物
美人蕉科,经济用途,中国食用(淀粉)植物
猪肚木,经济用途,中国食用(淀粉)植物
荠,经济用途,中国食用(淀粉)植物
碎米荠属,经济用途,中国食用(淀粉)植物
碎米荠,经济用途,中国食用(淀粉)植物
湿生碎米荠,经济用途,中国食用(淀粉)植物
白花碎米荠,经济用途,中国食用(淀粉)植物
水田碎米荠,经济用途,中国食用(淀粉)植物
大叶碎米荠,经济用途,中国食用(淀粉)植物
多叶碎米荠,经济用途,中国食用(淀粉)植物
草甸碎米荠,经济用途,中国食用(淀粉)植物
紫花碎米荠,经济用途,中国食用(淀粉)植物
华中碎米荠,经济用途,中国食用(淀粉)植物
桦木科,经济用途,中国食用(淀粉)植物
秋枫,经济用途,中国食用(淀粉)植物
重阳木,经济用途,中国食用(淀粉)植物
苎麻,经济用途,中国食用(淀粉)植物
贴毛苎麻,经济用途,中国食用(淀粉)植物
青叶苎麻,经济用途,中国食用(淀粉)植物
悬铃叶苎麻,经济用途,中国食用(淀粉)植物
黄细心,经济用途,中国食用(淀粉)植物
木棉,经济用途,中国食用(淀粉)植物
糖棕,经济用途,中国食用(淀粉)植物
山茄子,经济用途,中国食用(淀粉)植物
润肺草,经济用途,中国食用(淀粉)植物
莼菜,经济用途,中国食用(淀粉)植物
楸,经济用途,中国食用(淀粉)植物
梓,经济用途,中国食用(淀粉)植物
青葙,经济用途,中国食用(淀粉)植物
菲律宾朴树,经济用途,中国食用(淀粉)植物
欧洲甜樱桃,经济用途,中国食用(淀粉)植物
高盆樱桃,经济用途,中国食用(淀粉)植物
欧李,经济用途,中国食用(淀粉)植物
毛樱桃,经济用途,中国食用(淀粉)植物
粗梗水蕨,经济用途,中国食用(淀粉)植物
水蕨,经济用途,中国食用(淀粉)植物
木瓜,经济用途,中国食用(淀粉)植物
藜科,经济用途,中国食用(淀粉)植物
藜,经济用途,中国食用(淀粉)植物
杖藜,经济用途,中国食用(淀粉)植物
芸苔属,经济用途,中国食用(淀粉)植物
芸苔,经济用途,中国食用(淀粉)植物
紫菜苔,经济用途,中国食用(淀粉)植物
青菜,经济用途,中国食用(淀粉)植物
油白菜,经济用途,中国食用(淀粉)植物
苦芥,经济用途,中国食用(淀粉)植物
芥菜,经济用途,中国食用(淀粉)植物
油芥菜,经济用途,中国食用(淀粉)植物
大头菜,经济用途,中国食用(淀粉)植物
雪里蕻,经济用途,中国食用(淀粉)植物
多裂叶芥,经济用途,中国食用(淀粉)植物
榨菜,经济用途,中国食用(淀粉)植物
芥菜疙瘩,经济用途,中国食用(淀粉)植物
菜苔,经济用途,中国食用(淀粉)植物
白菜,经济用途,中国食用(淀粉)植物
番木瓜,经济用途,中国食用(淀粉)植物
刺黄果,经济用途,中国食用(淀粉)植物
鹅耳枥,经济用途,中国食用(淀粉)植物
红花,经济用途,中国食用(淀粉)植物
山核桃,经济用途,中国食用(淀粉)植物
湖南山核桃,经济用途,中国食用(淀粉)植物
美国山核桃,经济用途,中国食用(淀粉)植物
越南山核桃,经济用途,中国食用(淀粉)植物
短穗鱼尾葵,经济用途,中国食用(淀粉)植物
鱼尾葵,经济用途,中国食用(淀粉)植物
董棕,经济用途,中国食用(淀粉)植物
槐叶决明,经济用途,中国食用(淀粉)植物
决明,经济用途,中国食用(淀粉)植物
栗,经济用途,中国食用(淀粉)植物
银叶锥,经济用途,中国食用(淀粉)植物
大叶子,经济用途,中国食用(淀粉)植物
燕麦属,经济用途,中国食用(淀粉)植物
野燕麦,经济用途,中国食用(淀粉)植物
海榄雌,经济用途,中国食用(淀粉)植物
鱼肚腩竹,经济用途,中国食用(淀粉)植物
木[竹/亶]竹,经济用途,中国食用(淀粉)植物
苞藜,经济用途,中国食用(淀粉)植物
落葵,经济用途,中国食用(淀粉)植物
冷箭竹,经济用途,中国食用(淀粉)植物
峨热竹,经济用途,中国食用(淀粉)植物
洋紫荆,经济用途,中国食用(淀粉)植物
菵草属,经济用途,中国食用(淀粉)植物
冬瓜,经济用途,中国食用(淀粉)植物
节瓜,经济用途,中国食用(淀粉)植物
可食小檗,经济用途,中国食用(淀粉)植物
秦岭米面蓊,经济用途,中国食用(淀粉)植物
米面蓊,经济用途,中国食用(淀粉)植物
密蒙花,经济用途,中国食用(淀粉)植物
橄榄科,经济用途,中国食用(淀粉)植物
牛油果,经济用途,中国食用(淀粉)植物
仙人掌科,经济用途,中国食用(淀粉)植物
月光花,经济用途,中国食用(淀粉)植物
红厚壳,经济用途,中国食用(淀粉)植物
山茶属,经济用途,中国食用(淀粉)植物
金钱豹,经济用途,中国食用(淀粉)植物
橄榄,经济用途,中国食用(淀粉)植物
方榄,经济用途,中国食用(淀粉)植物
乌榄,经济用途,中国食用(淀粉)植物
滇榄,经济用途,中国食用(淀粉)植物
直生刀豆,经济用途,中国食用(淀粉)植物
梅,经济用途,中国食用(淀粉)植物
野杏,经济用途,中国食用(淀粉)植物
辣根,经济用途,中国食用(淀粉)植物
银蒿,经济用途,中国食用(淀粉)植物
龙蒿,经济用途,中国食用(淀粉)植物
野艾蒿,经济用途,中国食用(淀粉)植物
大花蒿,经济用途,中国食用(淀粉)植物
圆头蒿,经济用途,中国食用(淀粉)植物
波罗蜜,经济用途,中国食用(淀粉)植物
面包树,经济用途,中国食用(淀粉)植物
