title,label
Sorghum ×almum,newNode
Sorghum almum,newNode
植物界,newNode
百合纲,newNode
鸭跖草亚纲,newNode
Roegneria hybrida,newNode
Roegneria kamoji,newNode
2003年根据植物亲缘关系分类的APG,newNode
犬草组、犬草系,newNode
Medicago varia,newNode
Arenaria zadoiensis,newNode
繁缕族 繁缕亚族,newNode
Corydalis zadoiensis,newNode
木兰亚纲,newNode
罂粟科，有资料归荷包牡丹科,newNode
Primula alpicola,newNode
Ficus variegata Bl.,newNode
Cyananthus sherriffii,newNode
木兰纲,newNode
菊亚纲,newNode
Stapelia variegata,newNode
龙胆目,newNode
大叶落藜,newNode
Chenopodium hybridum,newNode
石竹亚纲,newNode
石竹目,newNode
将藜科的种类并到苋科，原藜科物种成苋科的一个亚科,newNode
Herniaria polygama,newNode
Kobresia clarkeana,newNode
Poa hybrida Gaud,newNode
Trifolium hybridum,newNode
Cichorium endivia,newNode
菊目,newNode
Colutea media,newNode
蔷薇亚纲,newNode
豆目,newNode
蝶形花科,newNode
楼台草、玉容草(《滇南本草》)，白花益母草(《植物名实图考》)，对月草、白花茺蔚(《中国药植志》)。,newNode
唇形目,newNode
Impatiens usambarensis,newNode
APG 分类法把凤仙花科划归杜鹃花目,newNode
以前克朗奎斯特分类法把凤仙花科划归牻牛儿苗目,newNode
Rubus ellipticus var. obcordatus,newNode
蔷薇亚科ROSOideae,newNode
Primula praeflorens,newNode
五桠果亚纲,newNode
映山红、山踯躅、红踯躅、山石榴、山鹃,newNode
Rhododendron praevernum,newNode
杜鹃属、杜鹃属,newNode
Gerbera bonatiana,newNode
帚菊木族、大丁草亚族,newNode
Lonicera praeflorens,newNode
川续断目,newNode
Roscoea cautleoides,newNode
姜亚纲,newNode
姜目,newNode
姜花亚科Hedychium,newNode
Medicago praecox,newNode
Remusatia hookeriana,newNode
泽泻亚纲,newNode
天南星科新分类法属泽泻目,newNode
Eremopyrum triticeum (Gaertn.) Nevski,newNode
Mazus caducifer,newNode
动物界,newNode
玄参目,newNode
玄参亚科,newNode
Viola prionantha,newNode
金虎尾目,newNode
Salsola praecox,newNode
Corispermum praecox,newNode
将藜科的种类并到苋科，原藜科物种成苋科的一个亚科藜亚科。,newNode
稍草、小青草、小鸡草、冷草、绒球草,newNode
Poa annua,newNode
沙竹、桂竹、雷竹,newNode
Phyllostachys propinqua,newNode
Ilex hayataiana,newNode
冬青目,newNode
冬青科，在原来的克朗奎斯特分类法中是被分入卫矛目的。,newNode
Phyllostachys violascens,newNode
波斯枣、番枣、伊拉克枣、枣椰子、枣椰树、仙枣、椰枣,newNode
Phoenix dactylifera L.,newNode
、,newNode
Ziziphus Mill.,newNode
Kydia jujubifolia,newNode
Pulicaria Gaertn.,newNode
重楼、重台、枝花头、草甘遂,newNode
Arenaria serpyllifolia L.,newNode
Gleditsia sinensis Lam.,newNode
Exacum,newNode
藻百年草,newNode
Exacum tetragonum,newNode
皂荚树、皂角、猪牙皂、牙皂,newNode
Gleditsia sinensis Lam.,newNode
庵罗 菴罗 暗罗 儋丹皂帽花 鸡朵乎 毛皂帽花 鸟木兰 乌木兰,newNode
Dasymaschalon trichophorum,newNode
番鹰爪族,newNode
番荔枝亚科,newNode
Dasymaschalon,newNode
皂帽花族,newNode
毛狗条、山杨柳,newNode
Salix wallichiana,newNode
Ptilotricum canescens,newNode
白花菜目,newNode
Ptilotrichum C. A. Mey.,newNode
Ptilotrichum,newNode
Poa palustris,newNode
Deinostema violacea,newNode
筛沼报春；锦台报春；指状报春,newNode
Primula helodoxa,newNode
Saxifraga zekoensis,newNode
Pleurospermum tsekuense,newNode
Carex zekogensis,newNode
薹草亚属、膜囊薹草组,newNode
Inula eupatorioides,newNode
羊耳菊组 泽兰系,newNode
五朵云，五灯草，五风草（别名）,newNode
Euphorbia helioscopia,newNode
双子叶植物纲，又称木兰纲。,newNode
乳浆大戟亚属、泽漆组,newNode
茶叶花、泽漆麻、野茶叶、红根草,newNode
水香、都梁香、虎蒲、龙枣、孩儿菊、风药,newNode
Eupatorium,newNode
紫菀亚科,newNode
Ammannia myriophylloides,newNode
Erigeron seravschanicus,newNode
山藁本（江苏）,newNode
Sium suave Walt.,newNode
Caldesia parnassifolia,newNode
泽泻目,newNode
Caldesia Parl.,newNode
Sium L.,newNode
Carex riparia,newNode
薹草亚属、泽生薹草组,newNode
Hemionitis L.,newNode
薄囊蕨纲,newNode
水龙骨目,newNode
心叶蕨,newNode
Hemionitis arifolia (Burm.) Moore,newNode
泽泻蕨属Hemionitis,newNode
Alisma Linn.,newNode
Alismataceae Vent. (1799),newNode
木贼门,newNode
有12属，中国有5属,newNode
绿色植物亚界,newNode
轮藻总门,newNode
泽泻超目,newNode
白水花（广西） 水硼砂（贵州）,newNode
Lysimachia candida,newNode
Vigna minima,newNode
双子叶植物纲，又称木兰纲,newNode
豆亚目,newNode
Astragalus tsataensis,newNode
蝶型花亚科,newNode
Oxytropis recognita,newNode
山羊豆族、黄耆亚族,newNode
大花棘豆亚属、大花棘豆组、污色棘豆系,newNode
Astragalus zaissanensis,newNode
胀萼亚属、兔尾状组,newNode
Silene alexandrae,newNode
石竹超目,newNode
Salix clathrata,newNode
杨柳目仅杨柳科,newNode
Heliciopsis terminalis,newNode
Rhodoleia stenopetala,newNode
金缕梅亚纲,newNode
金缕梅目,newNode
Parnassia angustipetala,newNode
Ranunculus micronivalis,newNode
毛莨目,newNode
毛莨属,newNode
Bulbophyllum rufinum,newNode
百合亚纲,newNode
兰目,newNode
天门冬超目,newNode
厚叶蒲公英,newNode
Taraxacum bessarabicum,newNode
Impatiens stenosepala,newNode
凤仙花亚目,newNode
Coix lacryma-jobi var. stenocarpa,newNode
Acampe ochracea,newNode
Arabis pterosperma,newNode
Gentianella angustiflora,newNode
Potentilla angustiloba,newNode
Oxytropis moellendorffii,newNode
