name,relation,value
车前状垂头菊,生活型,多年生草本
车前状垂头菊,物候期,花果期7至10月
峨边鱼鳞蕨,生长型,簇生
紫苞鸢尾,生活型,多年生草本
紫苞鸢尾,物候期,花期5至6月，果期7至8月
新疆落叶松,生活型,乔木
新疆落叶松,生活型,小枝不下垂
新疆落叶松,物候期,花期5月，球果9至10月成熟
峨边杜鹃,生活型,灌木或小乔木
峨边杜鹃,生活型,当年生枝被黑色腺体
峨边杜鹃,物候期,花期4月
峨边虾脊兰,物候期,花期5月
峨参,生活型,二年生或多年生草本
峨参,物候期,花果期4至5月
峨参属,生活型,二或多年生草本
峨参属,生长型,侧生
峨眉蒿,生活型,多年生草本
峨眉蒿,物候期,花果期8至11月
峨参叶紫堇,生活型,多年生灰绿色草本
峨参叶紫堇,物候期,花期4至5月，果期5至6月
峨眉牛皮消,物候期,花期7至8月，果期8至9月
峨眉报春,生活型,多年生草本
峨眉报春,物候期,花期6至7月，果期7至8月
峨眉半蒴苣苔,生活型,多年生草本
峨眉半蒴苣苔,物候期,花期8至10月，果期11至12月
峨眉贝母,物候期,花期5月
峨眉翠雀花,物候期,7至8月开花
峨眉带唇兰,生长型,顶生
峨眉带唇兰,物候期,花期7月
峨眉当归,生活型,多年生草本
峨眉当归,物候期,花期6至8月，果期8至11月
峨眉点地梅,生活型,多年生草本
峨眉点地梅,物候期,花期4至5月
峨眉点地梅,物候期,果期6月
峨眉吊石苣苔,生长型,互生
峨眉吊石苣苔,物候期,果期始于9月
峨眉钓樟,生活型,常绿乔木或小乔木
峨眉钓樟,物候期,花期3至4月，果期8至9月
峨眉冬青,生活型,常绿灌木或乔木
峨眉冬青,生活型,小枝粗壮
峨眉冬青,生活型,叶生于1至2年生枝上
峨眉冬青,物候期,花期5至6月，果期9至10月
峨眉椴,生活型,乔木
峨眉耳蕨,生长型,簇生
峨眉鹅耳枥,生活型,小乔木
峨眉风轮菜,生活型,多年生直立草本
峨眉繁缕,生活型,一年生草本
峨眉繁缕,物候期,花期4至7月，果期6至8月
峨眉凤仙花,生活型,直立草本
峨眉凤仙花,物候期,花期8至9月
峨眉茯蕨,生长型,簇生
峨眉附地菜,生活型,多年生草本
峨眉附地菜,生长型,轮生
峨眉附地菜,物候期,花果期5至7月
峨眉勾儿茶,物候期,花期7至8月，果期翌年5至6月
峨眉过路黄,物候期,花期6月
峨眉过路黄,物候期,果期10月
峨眉含笑,生活型,乔木
峨眉含笑,物候期,花期3至5月，果期8至9月
峨眉红腺蕨,生长型,簇生
峨眉红门兰,物候期,花期7至8月
峨眉红山茶,生活型,灌木或小乔木
峨眉红山茶,物候期,花期3至5月
峨眉厚喙菊,生活型,多年生草本
峨眉厚喙菊,物候期,花果期7月
川黄檗,物候期,花期5至6月，果期9至11月
峨眉黄芩,生活型,多年生草本
峨眉黄芩,物候期,花期6至7月，果期7至8月
峨眉黄肉楠,生活型,灌木或小乔木
峨眉黄肉楠,物候期,花期2至3月，果期8至9月
峨眉火绒草,生活型,多年生草本
峨眉火绒草,物候期,花期5至7月
峨眉火绒草,物候期,果期6至7月
峨眉蓟,生活型,草本
峨眉蓟,物候期,花果期7月
峨眉荚蒾,物候期,花期11月
峨眉假蹄盖蕨,生长型,簇生
峨眉尖舌苣苔,生活型,多年生草本
峨眉尖舌苣苔,生长型,互生
峨眉尖舌苣苔,物候期,花期8至9月
峨眉角蕨,生长型,簇生
峨眉金线兰,物候期,花期8至9月
峨眉柯,生活型,乔木
峨眉柯,物候期,花期7至8月，果次年8至9月成熟
峨眉裂瓜,生活型,纤细攀援草本
峨眉柳,生活型,小乔木或灌木
峨眉柳,生活型,当年生小枝无毛
峨眉柳,物候期,果期6月
峨眉龙胆,生活型,多年生草本
峨眉龙胆,物候期,花果期7至9月
峨眉楼梯草,生活型,多年生草本
峨眉楼梯草,物候期,花期4月
峨眉梅花草,生活型,小草本
峨眉梅花草,物候期,花期7至9月，果期9月开始
峨眉毛蕨,生长型,顶生
峨眉螺序草,生活型,匍匐草本
峨眉螺序草,物候期,花期6月，果期8月
峨眉拟单性木兰,生活型,常绿乔木
峨眉拟单性木兰,物候期,花期5月，果期9月
矩叶鼠刺,生活型,灌木或小乔木
矩叶鼠刺,物候期,花期3至5月，果期6至12月
峨眉蔷薇,物候期,花期5至6月，果期7至9月
峨眉秋海棠,生活型,多年生草本
峨眉秋海棠,物候期,花期7至8月，果期9月开始
峨眉青荚叶,生活型,常绿小乔木或灌木
峨眉青荚叶,物候期,花期3至4月
峨眉青荚叶,物候期,果期7至8月
长圆青荚叶,生活型,常生于海拔700至2200米林中
峨眉缺裂报春,生活型,多年生小草本
峨眉缺裂报春,生长型,顶生
峨眉缺裂报春,物候期,花期：6至7月
峨眉雀梅藤,生长型,顶生
峨眉雀梅藤,物候期,花期8至9月，果期翌年5月
峨眉瑞香,生长型,顶生
峨眉瑞香,物候期,花期11月至次年2月，果期4至5月
峨眉山莓草,生活型,多年生草本
峨眉山莓草,生长型,顶生
峨眉山莓草,物候期,花期7月
峨眉十大功劳,物候期,花期3至5月，果期5至8月
峨眉香科科,生活型,多年生草本
峨眉香科科,物候期,花期7至9月
峨眉手参,物候期,花期5至6月
峨眉石杉,生活型,多年生土生植物
峨眉鼠尾草,生活型,多年生草本
峨眉鼠尾草,物候期,花期7至9月
峨眉双蝴蝶,生活型,多年生缠绕草本
峨眉双蝴蝶,物候期,花果期8至12月
峨眉薹草,物候期,花果期5至8月
峨眉蹄盖蕨,生长型,簇生
峨眉唐松草,物候期,7月开花，8月结果
峨眉无柱兰,物候期,花期7月
峨眉卫矛,生活型,常绿小乔木
峨眉卫矛,生活型,当年生枝密被黄色绒毛
峨眉卫矛,物候期,果期7月
峨眉无心菜,生活型,直立小草本
峨眉无心菜,物候期,花期8月
峨眉虾脊兰,物候期,花期7月
峨眉小檗,生长型,单生
峨眉小檗,物候期,花期5至6月，果期7至10月
峨眉悬钩子,物候期,花期6至7月，果期8至9月
峨眉岩白菜,生活型,多年生草本
峨眉岩白菜,物候期,花期6月
峨眉雪胆,生活型,多年生攀援草本
峨眉雪胆,物候期,花期7至9月，果期9至11月
峨眉鱼鳞蕨,生长型,簇生
峨眉泽兰,生活型,多年生草本
峨眉泽兰,物候期,花果期9至11月
峨眉越桔,物候期,花期6至7月，果期8至10月
峨眉獐牙菜,生活型,多年生草本
峨眉獐牙菜,物候期,花期8至9月
峨眉竹茎兰,物候期,花期7月
峨眉紫锤草,生活型,多年生直立草本
峨眉紫锤草,物候期,花期8月
峨嵋假铁秆草,物候期,花果期9至12月
峨眉紫菀,生活型,多年生草本
峨眉紫菀,物候期,花期6至8月
峨屏草属,生活型,多年生草本
峨屏草,生活型,多年生草本
峨屏草,物候期,花果期4至10月
尾叶紫金牛,物候期,花期5至7月，果期11至12月或5至6月
峨山蛾眉蕨,生长型,簇生
川黔翠雀花,物候期,6至8月开花
鹅白毛兰,生长型,顶生
鹅白毛兰,物候期,花期11月至次年2月，果期4至5月
莪术,生长型,侧生
莪术,物候期,花期：4至6月
鹅肠菜属,生活型,二年生或多年生草本
白蔹,物候期,花期5至6月，果期7至9月
柳叶白前,物候期,花期5至8月，果期9至10月
无心菜,生活型,一年生或二年生草本
无心菜,物候期,花期6至8月，果期8至9月
鹅肠菜,生活型,二年生或多年生草本
鹅肠菜,物候期,花期5至8月，果期6至9月
天胡荽,生活型,多年生草本
天胡荽,物候期,花果期4至9月
繁缕,生活型,一年生或二年生草本
繁缕,生长型,顶生
繁缕,物候期,花期6至7月，果期7至8月
鹅耳枥属,生活型,乔木或小乔木
鹅耳枥属,生活型,本属的乔木树种木材坚硬
竹节树,生活型,乔木
鹅耳枥,生活型,乔木
乌头,生长型,顶生
乌头,物候期,9至10月开花
鸡肠繁缕,生活型,一年生或二年生草本
鸡肠繁缕,生长型,顶生
鸡肠繁缕,物候期,花期4至6月，果期6至8月
鹅观草属,生活型,多年生草本
鹅黄灯台报春,生活型,二年生草本
鹅黄灯台报春,物候期,花期6至7月，果期8月
檫木,生活型,落叶乔木
檫木,生长型,互生
檫木,物候期,花期3至4月，果期5至9月
土荆芥,生活型,一年生或多年生草本
鹅銮鼻大戟,生活型,多年生草本
屏东猪屎豆,生活型,铺地小草本
龙头兰,物候期,花期7至9月
鹅毛玉凤花,物候期,花期8至10月
鹅毛竹,物候期,笋期5至6月
鹅绒藤属,生活型,灌木或多年生草本
鹅绒藤,生活型,缠绕草本
鹅绒藤,物候期,花期6至8月，果期8至10月
蕨麻,生活型,多年生草本
鹅首马先蒿,生活型,多年生草本
鸡娃草,生活型,一年生草本
鸡娃草,物候期,花期7至8月，果期7至9月
鹅掌柴属,生活型,直立无刺乔木或灌木
痄腮树,生活型,乔木
痄腮树,物候期,花期3至6月，果期8至11月
鹅掌柴,生活型,乔木或灌木
鹅掌柴,物候期,花期11至12月，果期12月
白簕,物候期,花期8至11月，果期9至12月
鹅掌楸属,生活型,落叶乔木
鹅掌楸,生活型,乔木
鹅掌楸,物候期,花期5月，果期9至10月
鹅掌藤,物候期,花期7月，果期8月
爪哇唐松草,物候期,4至7月开花
蛾眉蕨属,生长型,簇生
美丽唐松草,物候期,7至10月开花
额尔古纳薹草,物候期,果期6月
额尔古纳早熟禾,生活型,多年生
额尔古纳早熟禾,物候期,花期6月
大籽蒿,生活型,一、二年生草本
大籽蒿,物候期,花果期6至10月
额河木蓼,生活型,当年生枝细弱无毛
额河木蓼,生长型,簇生
额河木蓼,生活型,总状花序少花
额河杨,生活型,乔木
额河杨,物候期,花期5月，果期6月
狭叶当归,生活型,多年生草本
狭叶当归,物候期,花期7至8月，果期8至9月
额穆尔堇菜,生活型,多年生草本
额穆尔堇菜,物候期,花期6月
恶味苘麻,生活型,亚灌木状草本
恶味苘麻,物候期,花期4至6月
鄂北荛花,生活型,枝纤细直立
鄂北荛花,物候期,花期7至8月，果期9月
鄂报春,生活型,多年生草本
鄂报春,物候期,花期3至6月
粉椴,生活型,乔木
粉椴,物候期,花期7至8月
鄂赤瓟,生活型,攀援生或蔓生多年生草本
鄂赤瓟,物候期,花果期5至10月
鄂西苍术,生活型,多年生草本
鄂西苍术,物候期,花果期9月
黑沙蒿,生活型,茎多枚
黑沙蒿,物候期,花果期7至10月
鄂柃,生活型,小乔木
鄂柃,物候期,花期11至12月
鄂西茶藨子,物候期,花期5至6月，果期7至8月
鄂西粗筒苣苔,生活型,多年生无茎草本
鄂西粗筒苣苔,物候期,花期6至7月
鄂西杜鹃,物候期,花期5月，果期9月
鄂西凤仙花,生活型,一年生草本
鄂西凤仙花,物候期,花期6至8月，果期9月
红豆树,生活型,常绿或落叶乔木
红豆树,物候期,花期4至5月，果期10至11月
神农架蒿,生活型,多年生草本
神农架蒿,物候期,花果期8至10月
鄂西喉毛花,生活型,一年生草本
鄂西喉毛花,生长型,单生
鄂西喉毛花,物候期,花果期8至9月
鄂西黄堇,生活型,多年生草本
鄂西黄堇,物候期,花果期7至9月
鄂西虎耳草,生活型,多年生草本
鄂西虎耳草,物候期,花期7至8月
鄂西介蕨,生长型,簇生
鄂西堇菜,生活型,多年生草本
鄂西堇菜,物候期,花期4月
鄂西卷耳,生活型,多年生草本
鄂西卷耳,物候期,花期4至5月，果期6至7月
巴山冷杉,生活型,乔木
鄂西蒲儿根,生活型,具茎叶多年生草本
鄂西蒲儿根,生长型,顶生
鄂西蒲儿根,物候期,花期4月
鄂西箬竹,物候期,花期8至9月
城口桤叶树,生活型,落叶灌木或小乔木
城口桤叶树,物候期,花期7至8月
城口桤叶树,物候期,果期9至10月
鄂西沙参,物候期,花期8至9月
鄂西十大功劳,物候期,花期4至8月
鄂西鼠李,生活型,当年生枝纤细
鄂西鼠李,物候期,果期7至8月
鄂西鼠尾草,生活型,多年生草本
鄂西鼠尾草,物候期,花期7至8月
尖头蹄盖蕨,生长型,簇生
鄂西薹草,物候期,花果期3至4月
鄂西天胡荽,生活型,多年生匍匐草本
鄂西天胡荽,物候期,花果期7至8月
鄂西香茶菜,生活型,多年生草本
鄂西香茶菜,物候期,花期8至9月，果期9至10月
鄂西香草,生活型,柔弱草本
鄂西香草,生活型,越年老茎蔓延且生根
鄂西香草,物候期,花期5月
鄂西玄参,生活型,多年生草本
鄂西玄参,物候期,花期6至7月，果期7至8月
白辛树,生活型,乔木
白辛树,物候期,花期4至5月，果期8至10月
鄂西玉山竹,物候期,笋期6至9月，花期4至8月
鄂西獐牙菜,生活型,一年生草本
鄂西獐牙菜,物候期,花果期8至9月
萼翅藤,物候期,花期3至4月，果期5至6月
萼脊兰属,生活型,附生草本
萼距花属,生活型,草本或灌木
萼距花属,生长型,互生
萼脊兰,物候期,花期6月
酸模,生活型,多年生草本
鳄梨属,生活型,常绿乔木或灌木
菥蓂,生活型,一年生草本
菥蓂,生长型,顶生
菥蓂,物候期,花期3至4月，果期5至6月
鳄梨,生活型,常绿乔木
鳄梨,物候期,花期2至3月，果期8至9月
鳄嘴花,生活型,高大草本、直立或有时攀援状
鳄嘴花属,生活型,高大草本
鳄嘴花属,生长型,顶生
重齿当归,生活型,多年生高大草本
重齿当归,物候期,花期8至9月，果期9至10月
恩施淫羊藿,生活型,多年生草本
恩施淫羊藿,生长型,对生
恩施淫羊藿,物候期,花期4至5月，果期5至6月
恩施栒子,物候期,花期5至6月
长果颈黄耆,生活型,多年生草本
长果颈黄耆,物候期,花果期8至10月
儿茶,生活型,落叶小乔木
儿茶,物候期,花期4至8月
儿茶,物候期,果期9月至翌年1月
吊钟花,生活型,灌木或小乔木
吊钟花,物候期,花期3至5月，果期5至7月
酒饼簕,物候期,花期5至12月，果期9至12月
暗绿紫堇,生活型,无毛草本
暗绿紫堇,物候期,花果期6至9月
耳瓣棘豆,生活型,多年生草本
耳瓣棘豆,物候期,花期7月
耳苞鸭跖草,生活型,直立草本
耳苞鸭跖草,物候期,果期11月
耳柄合耳菊,生活型,多年生草本
耳柄合耳菊,物候期,花期9月
耳柄过路黄,物候期,花期5至6月
耳柄过路黄,物候期,果期6至7月
