title,relation,value
无心菜,功用,清热解毒
鹅肠菜,功用,解毒
天胡荽,功用,解毒
檫木,功用,祛风
鹅毛玉凤花,功用,消肿
痄腮树,功用,清热解毒
白簕,功用,解毒
爪哇唐松草,功用,解热
鳄嘴花,功用,接骨
牛皮消,功用,止咳
耳状人字果,功用,止咳
忍冬,功用,解毒
二裂委陵菜,功用,止血
红花绿绒蒿,功用,止咳
木竹子,功用,消炎
假朝天罐,功用,止血
罂粟,功用,催眠
糖胶树,功用,疮节
蜀葵,功用,解毒
全缘叶绿绒蒿,功用,消炎
九节龙,功用,消肿止痛
地枫皮,功用,祛风除湿
算盘子,功用,解毒
石榴,功用,止血
凹叶景天,功用,清热解毒
凹叶景天,功用,消肿
吊裙草,功用,消肿止痛
蝴蝶花,功用,清热解毒
毛菍,功用,止血
毛菍,功用,止痛
毛菍,功用,止血
毛菍,功用,接骨
木蝴蝶,功用,镇痛
刻叶紫堇,功用,解毒
博落回,功用,消肿
古钩藤,功用,祛风
败酱,功用,消肿
菜豆树,功用,消肿
变色马兜铃,功用,止痛
尖叶长柄山蚂蝗,功用,解毒
四川长柄山蚂蝗,功用,清热解毒
宽序崖豆藤,功用,祛风
宽叶独行菜,功用,清热
风湿木,功用,接骨
番杏,功用,清热解毒
番杏,功用,消肿
南瓜,功用,清热
南瓜,功用,清热
落葵,功用,解毒
匙羹藤,功用,消肿
血见愁,功用,解毒
防风,功用,镇痛
杯叶西番莲,功用,解毒
楤木,功用,祛风
肥皂草,功用,利尿
粉绿铁线莲,功用,祛风
野草香,功用,清热解毒
女萎,功用,利尿
钝萼铁线莲,功用,止痛
风箱树,功用,止咳
铁轴草,功用,止血
苏铁,功用,止血
凤仙花,功用,止痛
伏毛山豆根,功用,清热解毒
伏毛山豆根,功用,止痛
福禄草,功用,清热
豆腐柴,功用,清热解毒
豆腐柴,功用,止血
复羽叶栾树,功用,止痛
复羽叶栾树,功用,止咳
芭蕉,功用,解热
芭蕉,功用,利尿
甘青老鹳草,功用,清热解毒
唐古特虎耳草,功用,清热
大叶紫珠,功用,止血药
刚毛忍冬,功用,清热解毒
百两金,功用,舒筋活血
细柄百两金,功用,消炎
高原毛茛,功用,清热解毒
柱果铁线莲,功用,镇痛
筒鞘蛇菰,功用,消炎
毛杜仲藤,功用,镇痛
紫苏,功用,利尿剂
紫苏,功用,解毒
弓果藤,功用,祛风
厚叶雀舌木,功用,止血
勾儿茶属,功用,止咳
赤苍藤,功用,利尿
细叶景天,功用,清热解毒
徐长卿,功用,消肿
金丝桃,功用,止咳
金叶子,功用,镇痛
蕺菜,功用,解毒
金花树,功用,止血
荷青花,功用,消肿
川桂,功用,祛风
前胡,功用,解热
展毛野牡丹,功用,利尿
光萼猪屎豆,功用,清热解毒
黑毛四照花,功用,消肿
虎刺楤木,功用,消肿
广花耳草,功用,祛风
广藿香,功用,解热
广西马兜铃,功用,止痛
鬼吹箫,功用,祛风
鬼针草,功用,清热解毒
贵州八角莲,功用,解毒
贵州八角莲,功用,止痛
肉桂,功用,止痛
小花鬼针草,功用,清热解毒
爬树龙,功用,痈疮节肿
水龙,功用,清热解毒
水龙,功用,消肿
铁冬青,功用,解毒
铁冬青,功用,镇痛
络石,功用,清热解毒
黑老虎,功用,消肿止痛
山木通,功用,利尿
山木通,功用,解毒
扇叶铁线蕨,功用,止痛
黄海棠,功用,解毒
披针叶铁线莲,功用,清热解毒
八角枫,功用,止血
地耳草,功用,清热解毒
地耳草,功用,消肿
三叶木通,功用,利尿
紫花醉鱼草,功用,祛风
紫花醉鱼草,功用,止咳
拔毒散,功用,消炎
白苞蒿,功用,消炎
小花黄堇,功用,解毒
水东哥,功用,清热解毒
独角莲,功用,祛风
鸡骨常山,功用,消肿
杜茎山,功用,消肿
杜茎山,功用,止血
白花地丁,功用,清热解毒
白花地丁,功用,消肿
变色白前,功用,利尿
马甲子,功用,止痛
朱砂藤,功用,镇痛
石蜘蛛,功用,止痛
白薇,功用,止痛
寻骨风,功用,祛风
寻骨风,功用,止痛
紫背金盘,功用,镇痛
网脉酸藤子,功用,解毒
威灵仙,功用,镇痛
白薯莨,功用,消肿止痛
粗齿铁线莲,功用,止痛
粗齿铁线莲,功用,解毒
白透骨消,功用,消肿
木紫珠,功用,止血药
白芷,功用,祛风除湿
赪桐,功用,止血
百蕊草,功用,清热解暑
百蕊草,功用,利尿剂
百足藤,功用,接骨
